Brand,Name,Rating,Price,Link,ID
Benefit Cosmetics,WANDERful World Silky-Soft Powder Blush,"4.6 out of 5 stars ; 1970 reviews(1,970)",$31.00 ,https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-xlsImpprod820350?sku=2595677&dcEvent=true,2595677
Urban Decay,24/7 Moondust Eyeshadow,4.5 out of 5 stars ; 758 reviews(758),$24.00 ,https://www.ulta.com/p/247-moondust-eyeshadow-pimprod2022731?sku=2576953&sku=2576953&dcEvent=true,2576953
NARS,Radiant Creamy Concealer,"4.4 out of 5 stars ; 1390 reviews(1,390)",$32.00 ,https://www.ulta.com/p/radiant-creamy-concealer-xlsImpprod15251325?sku=2504450&dcEvent=true,2504450
e.l.f. Cosmetics,Power Grip Primer,"4.5 out of 5 stars ; 2390 reviews(2,390)",$10.00 ,https://www.ulta.com/p/power-grip-primer-pimprod2030073?sku=2591795&dcEvent=true,2591795
Benefit Cosmetics,BADgal BANG! Volumizing Mascara,"4 out of 5 stars ; 5216 reviews(5,216)",$28.00 ,https://www.ulta.com/p/badgal-bang-volumizing-mascara-xlsImpprod17501079?sku=2522828&dcEvent=true,2522828
Benefit Cosmetics,"Precisely, My Brow Pencil Waterproof Eyebrow Definer","4.6 out of 5 stars ; 11606 reviews(11,606)",$25.00 ,https://www.ulta.com/p/precisely-my-brow-pencil-waterproof-eyebrow-definer-xlsImpprod14191019?sku=2304336&dcEvent=true,2304336
Benefit Cosmetics,Roller Lash Curling & Lifting Mascara,"4.4 out of 5 stars ; 9006 reviews(9,006)",$28.00 ,https://www.ulta.com/p/roller-lash-curling-lifting-mascara-xlsImpprod11951085?sku=2285068&dcEvent=true,2285068
Benefit Cosmetics,Liquid Lip Blush & Cheek Tint,"4.1 out of 5 stars ; 1475 reviews(1,475)",$21.00 ,https://www.ulta.com/p/liquid-lip-blush-cheek-tint-pimprod2008308?sku=2547730&dcEvent=true,2547730
Lancôme,La Base Pro Oil-Free Longwear Makeup Primer,"4.7 out of 5 stars ; 1344 reviews(1,344)",$42.00 ,https://www.ulta.com/p/la-base-pro-oil-free-longwear-makeup-primer-xlsImpprod3650168?sku=2235646&dcEvent=true,2235646
Dior,Rosy Glow Blush,4.5 out of 5 stars ; 713 reviews(713),$40.00 ,https://www.ulta.com/p/rosy-glow-blush-pimprod2036840?sku=2604291&sku=2604291&dcEvent=true,2604291
Lancôme,Teint Idôle Ultra 24H Long Wear Matte Foundation,"4.5 out of 5 stars ; 9197 reviews(9,197)",Sale Price $28.50$28.50 Original Price $57.00$57.00 ,https://www.ulta.com/p/teint-idole-ultra-24h-long-wear-matte-foundation-xlsImpprod4700057?sku=2244416&dcEvent=true,2244416
Urban Decay Cosmetics,24/7 Glide-On Eyeliner Pencil,"4.5 out of 5 stars ; 25920 reviews(25,920)",$25.00 ,https://www.ulta.com/p/247-glide-on-eyeliner-pencil-VP11242?sku=2240454&dcEvent=true,2240454
Too Faced,Born This Way Undetectable Medium-to-Full Coverage Foundation,"4.3 out of 5 stars ; 19308 reviews(19,308)",$45.00 ,https://www.ulta.com/p/born-this-way-undetectable-medium-full-coverage-foundation-xlsImpprod12621017?sku=2290021&dcEvent=true,2290021
bareMinerals,ORIGINAL Foundation Broad Spectrum SPF 15,"4.6 out of 5 stars ; 14473 reviews(14,473)",$38.00 ,https://www.ulta.com/p/original-foundation-broad-spectrum-spf-15-VP11362?sku=5081178&dcEvent=true,5081178
